sku,category,name,url,price,upc,shipping,model,manufacturer,type,image,description
43900,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - AAA Batteries (4-Pack),http://www.bestbuy.com/site/duracell-aaa-batteries-4-pack/43900.p?id=1051384074145&skuId=43900&cmp=RMXCC,5.49,041333424019,5.49,MN2400B4Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/4390/43900_sa.jpg,Compatible with select electronic devices; AAA size; DURALOCK Power Preserve technology; 4-pack
48530,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - AA 1.5V CopperTop Batteries (4-Pack),http://www.bestbuy.com/site/duracell-aa-1-5v-coppertop-batteries-4-pack/48530.p?id=1099385268988&skuId=48530&cmp=RMXCC,5.49,041333415017,5.49,MN1500B4Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/4853/48530_sa.jpg,"Long-lasting energy; DURALOCK Power Preserve technology; for toys, clocks, radios, games, remotes, PDAs and more"
127687,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - AA Batteries (8-Pack),http://www.bestbuy.com/site/duracell-aa-batteries-8-pack/127687.p?id=1051384045676&skuId=127687&cmp=RMXCC,7.49,041333825014,5.49,MN1500B8Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1276/127687_sa.jpg,Compatible with select electronic devices; AA size; DURALOCK Power Preserve technology; 8-pack
150115,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Energizer - MAX Batteries AA (4-Pack),http://www.bestbuy.com/site/energizer-max-batteries-aa-4-pack/150115.p?id=1051384046217&skuId=150115&cmp=RMXCC,4.99,039800011329,5.49,E91BP-4,Energizer,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1501/150115_sa.jpg,4-pack AA alkaline batteries; battery tester included
185230,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - C Batteries (4-Pack),http://www.bestbuy.com/site/duracell-c-batteries-4-pack/185230.p?id=1051384046486&skuId=185230&cmp=RMXCC,8.99,041333440019,5.49,MN1400R4Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1852/185230_sa.jpg,Compatible with select electronic devices; C size; DURALOCK Power Preserve technology; 4-pack
185267,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - D Batteries (4-Pack),http://www.bestbuy.com/site/duracell-d-batteries-4-pack/185267.p?id=1051384046551&skuId=185267&cmp=RMXCC,9.99,041333430010,5.99,MN1300R4Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1852/185267_sa.jpg,Compatible with select electronic devices; D size; DURALOCK Power Preserve technology; 4-pack
312290,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208002', u'name': u'Alkaline Batteries'}]",Duracell - 9V Batteries (2-Pack),http://www.bestbuy.com/site/duracell-9v-batteries-2-pack/312290.p?id=1051384050321&skuId=312290&cmp=RMXCC,7.99,041333216010,5.49,MN1604B2Z,Duracell,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3122/312290_sa.jpg,Compatible with select electronic devices; alkaline chemistry; 9V size; DURALOCK Power Preserve technology; 2-pack
324884,"[{u'id': u'pcmcat113100050015', u'name': u'Carfi Instore Only'}]",Directed Electronics - Viper Audio Glass Break Sensor,http://www.bestbuy.com/site/directed-electronics-viper-audio-glass-break-sensor/324884.p?id=1112808077651&skuId=324884&cmp=RMXCC,39.99,093207005060,0,506T,Directed Electronics,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3248/324884_rc.jpg,From our expanded online assortment; compatible with Directed Electronics alarm systems; microphone and microprocessor detect and analyze intrusions; detects quiet glass breaks
333179,"[{u'id': u'pcmcat312300050015', u'name': u'Connected Home & Housewares'}, {u'id': u'pcmcat248700050021', u'name': u'Housewares'}, {u'id': u'pcmcat303600050001', u'name': u'Household Batteries'}, {u'id': u'abcat0208006', u'name': u'Specialty Batteries'}]",Energizer - N Cell E90 Batteries (2-Pack),http://www.bestbuy.com/site/energizer-n-cell-e90-batteries-2-pack/333179.p?id=1185268509951&skuId=333179&cmp=RMXCC,5.99,039800013200,5.49,E90BP-2,Energizer,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3331/333179_sa.jpg,Alkaline batteries; 1.5V
346575,"[{u'id': u'abcat0300000', u'name': u'Car Electronics & GPS'}, {u'id': u'pcmcat165900050023', u'name': u'Car Installation Parts & Accessories'}, {u'id': u'pcmcat331600050007', u'name': u'Car Audio Installation Parts'}, {u'id': u'pcmcat165900050031', u'name': u'Deck Installation Parts'}, {u'id': u'pcmcat165900050033', u'name': u'Dash Installation Kits'}]","Metra - Radio Installation Dash Kit for Most 1989-2000 Ford, Lincoln & Mercury Vehicles - Black",http://www.bestbuy.com/site/metra-radio-installation-dash-kit-for-most-1989-2000-ford-lincoln-mercury-vehicles-black/346575.p?id=1218118704590&skuId=346575&cmp=RMXCC,16.99,086429002757,0,99-5512,Metra,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3465/346575_rc.jpg,"From our expanded online assortment; compatible with most 1989-2000 Ford, Lincoln and Mercury vehicles; snap-in TurboKit offers fast installation; spacer/trim ring; rear support bracket"
346646,"[{u'id': u'abcat0300000', u'name': u'Car Electronics & GPS'}, {u'id': u'pcmcat165900050023', u'name': u'Car Installation Parts & Accessories'}, {u'id': u'pcmcat331600050007', u'name': u'Car Audio Installation Parts'}, {u'id': u'pcmcat165900050031', u'name': u'Deck Installation Parts'}, {u'id': u'pcmcat165900050033', u'name': u'Dash Installation Kits'}]",Metra - Radio Dash Multikit for Select GM Vehicles - Black,http://www.bestbuy.com/site/metra-radio-dash-multikit-for-select-gm-vehicles-black/346646.p?id=1210376657731&skuId=346646CC,16.99,086429003273,0,99-4500,Metra,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3466/346646_rc.jpg,From our expanded online assortment; compatible with select GM vehicles; plastic material
347137,"[{u'id': u'abcat0300000', u'name': u'Car Electronics & GPS'}, {u'id': u'pcmcat165900050023', u'name': u'Car Installation Parts & Accessories'}, {u'id': u'pcmcat331600050007', u'name': u'Car Audio Installation Parts'}, {u'id': u'pcmcat165900050031', u'name': u'Deck Installation Parts'}, {u'id': u'pcmcat165900050034', u'name': u'Deck Harnesses'}]",Metra - Wiring Harness for Select 1998-2008 Ford Vehicles - Multicolored,http://www.bestbuy.com/site/metra-wiring-harness-for-select-1998-2008-ford-vehicles-multicolored/347137.p?id=1142290459780&skuId=347137&cmp=RMXCC,16.99,086429056514,0,70-1771,Metra,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/9852/9852688_sa.jpg,Compatible with select 1998-2008 Ford vehicles; connects an aftermarket radio to a vehicle's harness
347146,"[{u'id': u'abcat0300000', u'name': u'Car Electronics & GPS'}, {u'id': u'pcmcat165900050023', u'name': u'Car Installation Parts & Accessories'}, {u'id': u'pcmcat331600050007', u'name': u'Car Audio Installation Parts'}, {u'id': u'pcmcat165900050031', u'name': u'Deck Installation Parts'}, {u'id': u'pcmcat165900050034', u'name': u'Deck Harnesses'}]",Metra - Turbo Wire Aftermarket Radio Wire Harness Adapter for Select Vehicles,http://www.bestbuy.com/site/metra-turbo-wire-aftermarket-radio-wire-harness-adapter-for-select-vehicles/347146.p?id=1183160746244&skuId=347146&cmp=RMXCC,16.99,086429056507,0,70-1721,Metra,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3471/347146_rc.jpg,Compatible with Honda and Acura vehicles; connects an aftermarket radio to your car's harness
