path,subCategories,id,name
"[{u'id': u'abcat0010000', u'name': u'Gift Ideas'}]","[{u'id': u'pcmcat140000050035', u'name': u'Capturing Photos & Videos'}, {u'id': u'pcmcat140000050036', u'name': u'Listening to Digital Music'}, {u'id': u'pcmcat140000050037', u'name': u'Computing Made Easy'}, {u'id': u'pcmcat140000050039', u'name': u'Simple GPS Navigation'}, {u'id': u'pcmcat140000050040', u'name': u'Playing Video Games'}, {u'id': u'pcmcat140000050041', u'name': u'Watching HDTV'}, {u'id': u'pcmcat140000050042', u'name': u'Enjoying Favorite Movies'}, {u'id': u'abcat0012000', u'name': u'Him'}, {u'id': u'abcat0011000', u'name': u'Her'}, {u'id': u'abcat0013000', u'name': u'Teens'}, {u'id': u'abcat0014000', u'name': u'Kids'}, {u'id': u'pcmcat84000050001', u'name': u'Anniversaries'}, {u'id': u'pcmcat84000050004', u'name': u'Baby Showers'}, {u'id': u'pcmcat94300050028', u'name': u'Birthdays'}, {u'id': u'pcmcat84000050002', u'name': u'Business Gifts'}, {u'id': u'pcmcat84000050003', u'name': u'Graduations'}, {u'id': u'pcmcat84000050000', u'name': u'Weddings'}, {u'id': u'abcat0020004', u'name': u'Unique Gifts'}, {u'id': u'pcmcat111900050004', u'name': u'Pink and Red Gifts'}, {u'id': u'abcat0020006', u'name': u'Prepaid Cards'}, {u'id': u'pcmcat231900050003', u'name': u'eGift Cards'}, {u'id': u'pcmcat253700050028', u'name': u'QP Test Category'}, {u'id': u'pcmcat312700050000', u'name': u'Our Favorite Gift Ideas'}, {u'id': u'pcmcat327600050005', u'name': u'Easter Made Easy'}, {u'id': u'pcmcat327600050006', u'name': u'Brunches Made Easy'}, {u'id': u'pcmcat332300050004', u'name': u'Grads Gifting'}, {u'id': u'pcmcat748300579354', u'name': u'Family Gift Ideas'}, {u'id': u'pcmcat748301108075', u'name': u'Stocking Stuffers'}]",abcat0010000,Gift Ideas
"[{u'id': u'abcat0010000', u'name': u'Gift Ideas'}, {u'id': u'abcat0014000', u'name': u'Kids'}, {u'id': u'abcat0020000', u'name': u'Toys'}, {u'id': u'abcat0020001', u'name': u'Learning Toys'}]",[],abcat0020001,Learning Toys
"[{u'id': u'abcat0010000', u'name': u'Gift Ideas'}, {u'id': u'abcat0014000', u'name': u'Kids'}, {u'id': u'abcat0020000', u'name': u'Toys'}, {u'id': u'abcat0020002', u'name': u'DVD Games'}]",[],abcat0020002,DVD Games
"[{u'id': u'abcat0010000', u'name': u'Gift Ideas'}, {u'id': u'abcat0020004', u'name': u'Unique Gifts'}]",[],abcat0020004,Unique Gifts
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}]","[{u'id': u'abcat0101000', u'name': u'TVs'}, {u'id': u'abcat0103000', u'name': u'Smart TVs & Devices'}, {u'id': u'pcmcat158900050008', u'name': u'Projectors & Screens'}, {u'id': u'abcat0106000', u'name': u'TV Stands, Mounts & Furniture'}, {u'id': u'abcat0205007', u'name': u'Sound Bars'}, {u'id': u'abcat0203000', u'name': u'Home Theater Systems'}, {u'id': u'abcat0102000', u'name': u'Blu-ray & DVD Players'}, {u'id': u'pcmcat161100050040', u'name': u'Streaming Media Players'}, {u'id': u'abcat0107000', u'name': u'TV & Home Theater Accessories'}, {u'id': u'abcat0105000', u'name': u'TV & Internet Service Providers'}, {u'id': u'pcmcat138100050024', u'name': u'TV & Home Theater Services'}, {u'id': u'pcmcat139900050002', u'name': u'Magnolia Home Theater'}, {u'id': u'pcmcat200900050008', u'name': u'Portable TV & Video'}]",abcat0100000,TV & Home Theater
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}, {u'id': u'abcat0101000', u'name': u'TVs'}]","[{u'id': u'abcat0101001', u'name': u'All Flat-Panel TVs'}, {u'id': u'pcmcat333800050003', u'name': u'4K Ultra HD TVs'}, {u'id': u'pcmcat220700050011', u'name': u'Smart TVs'}, {u'id': u'pcmcat333800050004', u'name': u'Curved TVs'}, {u'id': u'pcmcat205800050000', u'name': u'3D TVs'}, {u'id': u'pcmcat193400050017', u'name': u'LCD TVs'}, {u'id': u'pcmcat193400050018', u'name': u'LED TVs'}, {u'id': u'pcmcat193400050016', u'name': u'Plasma TVs'}, {u'id': u'pcmcat301000050010', u'name': u'OLED TVs'}, {u'id': u'pcmcat333800050005', u'name': u'Outdoor TVs & Accessories'}, {u'id': u'abcat0101005', u'name': u'TV/DVD Combos'}, {u'id': u'abcat0107000', u'name': u'TV & Home Theater Accessories'}, {u'id': u'pcmcat138100050024', u'name': u'TV & Home Theater Services'}, {u'id': u'abcat0101003', u'name': u'xFront Projectors'}, {u'id': u'abcat0101008', u'name': u'xScreens'}, {u'id': u'abcat0101004', u'name': u'xPortable'}, {u'id': u'abcat0101006', u'name': u'Tube TVs'}, {u'id': u'abcat0101007', u'name': u""Kid's TVs""}, {u'id': u'abcat0107001', u'name': u'TV Accessories'}]",abcat0101000,TVs
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}, {u'id': u'abcat0101000', u'name': u'TVs'}, {u'id': u'abcat0101001', u'name': u'All Flat-Panel TVs'}]","[{u'id': u'pcmcat138100050024', u'name': u'TV & Home Theater Services'}, {u'id': u'abcat0107001', u'name': u'TV Accessories'}]",abcat0101001,All Flat-Panel TVs
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}, {u'id': u'abcat0101000', u'name': u'TVs'}, {u'id': u'abcat0101005', u'name': u'TV/DVD Combos'}]","[{u'id': u'abcat0107001', u'name': u'TV Accessories'}]",abcat0101005,TV/DVD Combos
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}, {u'id': u'abcat0102000', u'name': u'Blu-ray & DVD Players'}]","[{u'id': u'abcat0102003', u'name': u'Blu-ray Players'}, {u'id': u'pcmcat220700050006', u'name': u'Smart Blu-ray Players'}, {u'id': u'pcmcat219300050005', u'name': u'Portable Blu-ray Players'}, {u'id': u'abcat0102001', u'name': u'xBlu-ray & HD DVD'}, {u'id': u'abcat0102005', u'name': u'DVD Players'}, {u'id': u'abcat0102006', u'name': u'DVD Recorders'}, {u'id': u'abcat0102007', u'name': u'DVD/VCR Combos'}, {u'id': u'pcmcat219900050000', u'name': u'Portable DVD Players & Accessories'}, {u'id': u'pcmcat219300050006', u'name': u'Portable Blu-ray & DVD Players'}, {u'id': u'abcat0107002', u'name': u'DVD Players & Recorder Accessories'}]",abcat0102000,Blu-ray & DVD Players
"[{u'id': u'abcat0100000', u'name': u'TV & Home Theater'}, {u'id': u'abcat0102000', u'name': u'Blu-ray & DVD Players'}, {u'id': u'abcat0102003', u'name': u'Blu-ray Players'}]","[{u'id': u'pcmcat219300050004', u'name': u'Standard Blu-ray Players'}, {u'id': u'pcmcat219300050005', u'name': u'Portable Blu-ray Players'}, {u'id': u'pcmcat748301694302', u'name': u'Streaming Blu-ray Players'}, {u'id': u'pcmcat205900050012', u'name': u'3D Blu-ray Players'}]",abcat0102003,Blu-ray Players
