city,name,zip,address2,hours,state,location,address,services,type,id
Bloomington,Mall of America,55425,,Mon: 10-9:30; Tue: 10-9:30; Wed: 10-9:30; Thurs: 10-9:30; Fri: 10-9:30; Sat: 10-9:30; Sun: 11-7,MN,"{u'lat': 44.85466, u'lon': -93.24565}",340 W Market,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Hablamos Espa\xf1ol', u'Camera Experience Shop ', u'Electronics Recycling', u'Magnolia Home Theater', u'Samsung Experience Shop', u'Windows Store']",BigBox,1000
Tempe,Tempe Marketplace,85281,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-10; Sat: 10-10; Sun: 10-8,AZ,"{u'lat': 33.430729, u'lon': -111.89966}",1900 E Rio Salado Pkwy,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'Car & GPS Installation Services', u'Hablamos Espa\xf1ol']",BigBox,1002
California,Lexington Park,20619,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,MD,"{u'lat': 38.29697, u'lon': -76.512016}",45235 Worth Ave.,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,1003
Birmingham,Trussville,35235,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,AL,"{u'lat': 33.605438, u'lon': -86.642662}",5072 Pinnacle Sq,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Samsung Experience Shop', u'Car & GPS Installation Services', u'Windows Store']",BigBox,1004
Vacaville,Vacaville,95688,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 38.367649, u'lon': -121.96328}",1621 E Monte Vista Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Magnolia Home Theater', u'Samsung Experience Shop', u'Windows Store']",BigBox,1008
Long Beach,Long Beach,90803,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 33.760353, u'lon': -118.11414}",6310 E Pacific Coast Hwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience Shop', u'Car & GPS Installation Services', u'Magnolia Home Theater', u'Windows Store']",BigBox,1009
Clarksville,Clarksville,47129,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,IN,"{u'lat': 38.327175, u'lon': -85.76461}",1025 Veterans Pkwy,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'Car & GPS Installation Services']",BigBox,1010
El Segundo,Sepulveda and Rosecrans,90245,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 33.9051385, u'lon': -118.3960826}",740 S Sepulveda Blvd,"[u'Best Buy For Business', u'Geek Squad Services', u'Best Buy Mobile', u'Apple Shop', u'Electronics Recycling', u'Windows Store', u'Samsung Experience', u'Sony Experience ', u'Car & GPS Installation Services', u'Magnolia Home Theater', u'Hablamos Espa\xf1ol']",BigBox,1011
Bismarck,Bismarck,58503,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 9-9; Sat: 9-9; Sun: 12-8,ND,"{u'lat': 46.829876, u'lon': -100.81213}",1207 W Century Ave,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Best Buy Marine Powered by Geek Squad', u'Samsung Experience', u'LG Experience ', u'Car & GPS Installation Services']",BigBox,1012
Glen Allen,Glen Allen,23059,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,VA,"{u'lat': 37.667957, u'lon': -77.459908}",9901 Brook Rd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Car & GPS Installation Services', u'Hablamos Espa\xf1ol', u'Samsung Experience Shop', u'Windows Store']",BigBox,1013
Sparks,Spanish Springs,89436,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,NV,"{u'lat': 39.579536, u'lon': -119.7412}",155 Los Altos Pkwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Best Buy Marine Powered by Geek Squad', u'Car & GPS Installation Services', u'Magnolia Home Theater', u'Samsung Experience Shop']",BigBox,1014
Altoona,Altoona,16602,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,PA,"{u'lat': 40.490524, u'lon': -78.382912}",1721 Osgood Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,1015
Kalispell,Kalispell,59901,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,MT,"{u'lat': 48.239506, u'lon': -114.33124}",2407 Highway 93 N,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,1016
San Angelo,San Angelo,76904,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-10; Sat: 10-10; Sun: 11-8,TX,"{u'lat': 31.435648, u'lon': -100.50107}",4325 Sunset Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,1017
Glendora,Glendora,91740,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,CA,"{u'lat': 34.11612, u'lon': -117.83625}",1307 E Gladstone St,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'Sony Experience ', u'Magnolia Home Theater', u'Car & GPS Installation Services', u'Hablamos Espa\xf1ol']",BigBox,1018
